Sample_ID,birth,sampling_date,age,sex,environment,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave,POU4F2_1_methylation_rate_ave,POU4F2_2_methylation_rate_ave,POU4F2_3_methylation_rate_ave,POU4F2_4_methylation_rate_ave,VGF_1_methylation_rate_ave,VGF_2_methylation_rate_ave,VGF_3_methylation_rate_ave,SCGN_1_methylation_rate_ave,SCGN_2_methylation_rate_ave
200603 Kutta,2016/2/1,2020/6/3,-1.000715229,M,captive,-1.020782438,-1.075286576,-1.144880124,-0.719570324,-0.636665822,-1.206480378,-1.179064274,-0.883356338,-0.78256198,-1.094433624,-0.970551204,-1.005656563,-1.108942749
210926 Kotetsu,2017/2/1,2021/9/26,-0.966273736,M,captive,-0.794281246,-1.083005578,-0.826020886,-0.885900359,-0.702954229,-1.318160077,-1.351891423,-0.725423808,-0.041614595,-0.412186324,-0.728045537,-0.892701708,-1.008509075
200604 Ana,2015/2/1,2020/6/4,-0.890927944,F,captive,-1.032126404,-0.846289536,-0.748395978,-0.784599159,-0.410136935,-1.14025172,-0.654509029,-0.514064288,-0.220717771,-0.961877423,-0.500359662,-0.543307453,-0.9734955
201108 Fuku,2015/2/1,2020/11/8,-0.843870555,M,captive,-0.988263068,-0.915760549,-0.768697877,-0.787213384,-0.215447361,-0.647432585,-0.655061192,-0.610350292,-0.219491036,-1.038815637,-0.554923437,-0.690723111,-1.170677209
200719 Yuzuru,2014/2/1,2020/7/19,-0.76794701,M,captive,-0.570805111,-0.58127049,-0.562096198,-0.576114754,-0.843360383,-0.740931867,-0.767702529,-0.946177084,-0.153247396,-0.063646942,-0.413461798,-1.063091235,-1.258211145
210427 Lucky,2015/2/1,2021/4/27,-0.792827726,F,captive,-0.858185589,-0.796759278,-0.715355632,-1.094384764,-0.321404421,-0.740931867,-0.477816736,-0.522870935,-0.594871665,-0.643000967,-0.335321083,-0.66104853,-0.566232344
210519 Honoka,2015/2/1,2021/5/19,-0.786232838,F,captive,-0.693698078,-0.878773667,-0.824826656,-0.701924309,-0.484776637,-0.514975268,-0.849422715,-0.322079391,-0.775201575,-0.363057102,-0.304334248,-0.89748793,-0.981788189
210622 Sasuke,2015/2/1,2021/6/22,-0.776040737,M,captive,-0.674413336,-0.530453731,-0.887324659,-0.910081936,-0.53227463,-0.839625554,-0.619722734,-0.37844193,-1.719786818,-0.582748149,-0.232256175,-0.621801504,-0.768021102
200604 Maron,2013/2/1,2020/6/4,-0.671942804,F,captive,-0.544713989,-0.713458388,-0.800942069,-0.736236006,-0.580816534,-0.888972398,-0.862122473,-0.92973801,-1.667037253,-0.279630123,-0.144011057,-0.080001098,-0.414199718
210322 Marin,2013/2/1,2021/3/22,-0.584634141,F,captive,-0.609374596,-0.709277262,-0.742026754,-0.713688319,-1.300593806,-0.631849371,-0.826231851,-1.279068328,-0.293095081,0.372954252,0.077612177,-0.289637651,-0.488833916
210520 Turara,2013/2/1,2021/5/20,-0.566944774,M,captive,-0.642272098,-0.644630626,-0.744017137,-0.601930221,-0.673202739,-0.73249096,-0.371249196,-0.515825618,-0.921182931,-0.202691908,0.103883624,-0.380575882,-0.59387464
210520 Syosuke,2013/2/1,2021/5/20,-0.566944774,M,captive,-0.464928093,-0.344554449,-0.582796174,-0.660750273,-0.766632857,-0.537700788,-0.654509029,-0.450656432,-2.188399238,-1.024911141,-0.171629758,-0.433224331,-0.279673879
210618 Meruru,2013/2/1,2021/6/18,-0.55825,M,captive,-0.573452036,-0.52402123,-0.76272673,-0.450958756,-0.118363552,-0.824042341,-0.580519131,-0.025001844,-0.143433523,-0.460388578,0.192802368,-0.877385795,-1.135663635
200623 Ren,2011/2/1,2020/6/23,-0.447235822,M,captive,-0.394595502,-0.517588729,-0.363854125,-0.398020709,-0.361073074,-0.537700788,-0.500455436,-0.055531552,-1.092925703,-0.39735486,-0.077995626,-0.798891743,-0.445527653
210607 Kanta,2006/2/1,2021/6/7,0.204963344,M,captive,-0.023647807,0.041395619,0.185889454,0.218609497,0.172887875,0.395344135,-0.052650905,0.33254801,0.376701727,0.166240735,0.725641208,-0.449497488,0.153388752
